Sum of total_paid,Column Labels,,,,
Row Labels,Baptist Health & Medical Center,Boudica Female Care,dr. Mariano & Co.,East Westfield Health Services,Grand Total
Follow-up consultation,1438632,554112,1556100,1713816,5262660
Caesarean section,457056,22218,209484,536406,1225164
New patient consultation,411885,348462,631557,407511,1799415
"Vaginal delivery, medical personnel present",330693,,,,330693
Ultrasonography for antepartum monitoring of fetus,323731,10564,97022,250756,682073
Diagnostic Ultrasound Procedures of the Stomach Organs,296430,182040,380685,233290,1092445
Vaginal delivery with forceps including postpartum care,169446,79257,336159,1147860,1732722
"Myomectomy, excision of fibroid tumor(s) of uterus, 1 to 4 intramural myoma(s) with total weight of 250 g or less and/or removal of surface myomas; abdominal approach",120655,61350,253580,14315,449900
Intrapartum monitoring of fetus with pulsed Doppler ultrasound,90420,13640,78980,268070,451110
"Curettage, postpartum",67068,87480,67068,40824,262440
Papanicolaou test,54040,40460,73780,55440,223720
Uterine operation,43272,,4808,33656,81736
Abortion Procedures,40644,3387,23709,48547,116287
Cervix biopsy: [surgical] or [cone],33600,1120,1820,980,37520
New obstetrical consultation,28674,8019,54675,154305,245673
"Telephone call by a physician to patient or for consultation or medical management or for coordinating medical management with other health care professionals (eg, nurses, therapists, social workers, nutritionists, physicians, pharmacists)",28314,702,234,702,29952
Repair of ovary,25185,18469,124246,38617,206517
Therapeutic endoscopic operation on ovary NOS,24024,2184,7644,5460,39312
Therapeutic laparoscopy,23275,,1862,2793,27930
Follow-up obstetrical consultation,22698,5850,47034,121446,197028
Debulking of tumour of unspecified organ,21704,,,,21704
Preterm labor (16 to 28 weeks),19296,2412,9648,21708,53064
"Hysteroscopy, surgical; with removal of impacted foreign body.",17496,14580,29160,10692,71928
Schroeder operation for cervical myomectomy,17083,10871,82309,32613,142876
"Vaginal hysterectomy, for uterus 250 g or less",11875,7125,40375,2375,61750
Cervical electroconisation,11253,1364,4433,6138,23188
Diagnostic laparoscopy,10626,2898,18354,11592,43470
Hysteroscopy with lysis of intrauterine adhesions,10380,,,,10380
Abdominal excision of uterus NOS,9204,,,,9204
Other repair of vaginal prolapse,7725,74675,7725,,90125
Cervix excision,5873,,4195,7551,17619
Hysteroscopy,4944,5974,5974,1236,18128
Urinary incontinence/sling operation,4317,8634,1439,1439,15829
Bilateral vulvectomy,3928,2455,2946,1473,10802
"Hysteroscopy, surgical; with division or resection of intrauterine septum (any method)",3846,,,,3846
Amputation of cervix,3356,839,2517,839,7551
Chlamydia swab,3250,4810,24505,29770,62335
Vaginal enterocelectomy,3240,,720,2160,6120
"Injection(s), diagnostic or therapeutic agent",3096,288,216,576,4176
Exploratory laparotomy,2898,1932,11592,12558,28980
Contraceptive method: female sterilisation,2595,,27680,27680,57955
Manual removal of retained placenta,2235,,,745,2980
Removel of large and complex growth,2184,,,,2184
"Intestinal stricturoplasty (enterotomy and enterorrhaphy) with or without dilation, for intestinal obstruction",2184,1092,8736,7644,19656
Interprofessional telephone/Internet assessment and management service provided by a consultative physician including a verbal and written report to the patient's treating/requesting physician or other qualified health care professional; 31 minutes or mor,1872,936,2106,3042,7956
Repair of total ruptured uterine,1780,890,,,2670
"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed)",1584,16632,21384,19404,59004
Vulvectectomy and block dissection of inguinal lymph nodes,1553,3106,4659,4659,13977
Colpotomy,1392,,,,1392
Closure of perforated bowel ,1284,,,,1284
Excision of vaginal cyst or tumor,1269,,1692,,2961
Female sterilisation operation NOS,1092,,,7644,8736
Condyloma acuminata cautery,972,486,1458,972,3888
Colposcopy,908,11804,22700,15663,51075
Repair of vaginal prolapse and amputation of cervix uteri NOS,,1736,3472,,5208
Cryosurgery,,,872,872,1744
Repair of enterocele by abdominal approach,,2878,1439,2878,7195
Repair of high imperforate anus with rectourethral or rectovaginal fistula,,1950,,,1950
Repair of cicatricial hernia,,,,3276,3276
Grand Total,4228036,1619681,4292753,5311993,15452463
