procedure_concept_id,category according to domain expert,concept_name,procedure_concept_id,category according to domain expert
2004407,Procedure,Amputation of cervix,2004407,Procedure
2004826,Procedure,Manual removal of retained placenta,2004407,Procedure
2103694,Procedure,Repair of total ruptured uterine,2004407,Procedure
2109120,Procedure,"Intestinal stricturoplasty (enterotomy and enterorrhaphy) with or without dilation, for intestinal obstruction",2004407,Procedure
2110098,Procedure,Excision of vaginal cyst or tumor,2004407,Procedure
2110172,Procedure,"Myomectomy, excision of fibroid tumor(s) of uterus, 1 to 4 intramural myoma(s) with total weight of 250 g or less and/or removal of surface myomas; abdominal approach",2004407,Procedure
2110224,Procedure,"Hysteroscopy, surgical; with division or resection of intrauterine septum (any method)",2004407,Procedure
2110301,Procedure,"Curettage, postpartum",2004407,Procedure
2722226,Procedure,"Hysteroscopy, surgical; with removal of impacted foreign body.",2004407,Procedure
4003896,Procedure,Cervix excision,2004826,Procedure
4032167,Procedure,Repair of ovary,2004826,Procedure
4060027,Diagnostic,Intrapartum monitoring of fetus with pulsed Doppler ultrasound,2004826,Procedure
4074572,Procedure,Therapeutic endoscopic operation on ovary NOS,2004826,Procedure
4074860,Procedure,Abdominal excision of uterus NOS,2103694,Procedure
4080255,Procedure,Debulking of tumour of unspecified organ,2103694,Procedure
4082534,Diagnostic,Ultrasonography for antepartum monitoring of fetus,2103694,Procedure
4102786,Procedure,Vaginal enterocelectomy,2109120,Procedure
4112477,Diagnostic,Chlamydia swab,2109120,Procedure
4119582,Procedure,Condyloma acuminata cautery,2109120,Procedure
4124157,Procedure,Female sterilisation operation NOS,2109120,Procedure
4125983,Procedure,Schroeder operation for cervical myomectomy,2109120,Procedure
4142400,Procedure,Other repair of vaginal prolapse,2109120,Procedure
4146389,Procedure,Repair of vaginal prolapse and amputation of cervix uteri NOS,2109120,Procedure
4167018,Delivery,Vaginal delivery with forceps including postpartum care,2109120,Procedure
4179969,Procedure,Repair of cicatricial hernia,2109120,Procedure
4185403,Procedure,Hysteroscopy with lysis of intrauterine adhesions,2109120,Procedure
4237489,Procedure,Removel of large and complex growth,2109120,Procedure
4253523,Procedure,Exploratory laparotomy,2109120,Procedure
